text,sentiment
"@united oh no, I'm rebooked, 7+ hours after my original arrival time. We can talk compensation.",Negative
Eliza &amp; I cheated on u @AmericanAir with @AirTahitiNui &amp; it was a lovely flight. But we'll be back! Lots!,Positive
"@USAirways Am I allowed to carry on a suit bag and carry on bag? My suit bag will hang like a jacket would. It is soft sided, 48""",Neutral
"@SouthwestAir Traveling with a 13 year old Thursday. He does not need an ID, correct?",Neutral
@united @DelonGerry ual sucks,Negative
@JetBlue awesome,Positive
@AmericanAir back in UK now no thanks to your staff that wouldn't me or the other passengers stranded. Just laughed at us,Negative
@SouthwestAir JH thank you. I finally got through the second time.,Positive
@united Please help... I am in Ethiopia adopting a two year old child. Have an existing confirmation #. Need to add child to reservation.,Neutral
@SouthwestAir  Longer flights with 300 series no wifi? Will be great when you retire them.,Negative
@USAirways The help/complaint forms on the website can be used only if the matter applies to an actual ticketed flight,Neutral
"@USAirways  I just reserved a flight with my companion certificate, where do I mail the certificate for verification???? THX!!!",Neutral
@SouthwestAir #magazine feature: Desk Plants Increase Productivity by 15%. #LuvSWA #healthbenefitsofplants #gardening http://t.co/BVfAxDUBAQ,Neutral
@united Calls to 800# resulted in 2hrs of hold time &amp; 2day wait to check suspect code share fare. Nothing investigated—my time wasted (2/2),Negative
@SouthwestAir do you think the flights out of Nashville will be Cancelled Flighted tomorrow?,Neutral
"@AmericanAir I understand. I'm feeling cranky. I called AA's bag tracker number and heard ""your bag has not been located."" 😩",Negative
@USairways E190 lands without nose gear in Houston - @Flightglobal http://t.co/Yf9NhMwyFF,Negative
"@SouthwestAir strives to be 'Customer Centric' in everything they do - communications, advertising, customer journey, etc. #ANAmarketers",Positive
"@SouthwestAir 
How do I get a companion pass??? Thanks,  Lin S",Neutral
"@AmericanAir @USAirways cost me a day of vacation ($350 hotel stay), day of dog boarding, and a day of airport parking.",Negative
@united is the worst airline. Lost my luggage delayed my flights and has been very unaccomidating,Negative
@USAirways or how about power outlets at your seat if you're gonna keep us siting here forever?,Negative
@united it most certainly was not.,Negative
@united I see. Thanks for explaining.,Positive
😩😂😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/yco9dikpt9”,Neutral
@USAirways it was supposed to be a carry on and in Pittsburgh  coming to Boston it was a carry on,Negative
@AmericanAir my flight number is 3M 50,Neutral
"@united I'll stick with my United flight. Thanks, though. Effort is much appreciated.",Positive
"@AmericanAir I love the Admiral Clubs! Thanks, hey can you follow me?",Positive
"@AmericanAir Flt Cancelled Flighted, rescheduled to bad time. Tried 800# 3hrs. Website states can't do online=useless website. Help?",Negative
@AmericanAir yikes.,Neutral
@SouthwestAir Incredibly frustrating. I emailed but still haven't received a response.,Negative
Central Time (US & Canada),Neutral
"@SouthwestAir Thanks for replying, I sen't my conf #! I love aviation and Southwest and all I wanted for my 18th was to fly SWA for the day!",Positive
@SouthwestAir thank you so so much for sending me to LA for #DestinationDragons! Tonight is gonna rock😎,Positive
@SouthwestAir Flying South by Southwest from SJC to SNA tiday http://t.co/KJKuVJ6CMo,Neutral
@JetBlue are you ever looking for interns ?,Neutral
@united Another awful experience and Victoria at the check in desk in STL could not have been more rude and condescending.,Negative
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,Negative
@AmericanAir @USAirways - I'm pregnant with twins and you're going to abandon me overnight in an airport? No hotel? When it's your fault?,Negative
@united @danahajek : United's CEO has decided to outsource and or push out more and more of their skilled and loyal employees..lack of staff,Negative
@united now arrives LAX @ 8:03 am,Neutral
@united I have.,Neutral
@USAirways Pilot pleads to let boarding begin for full flight #1937 while waiting for 4th flight attendant. Denied by mission control. Grrrr,Negative
@USAirways so basically I am stuck paying for hidden fees and being bumped to an inferior flight. JetBlue here I come. #usairways #mergers,Negative
@united just did! Thank you!,Positive
@AmericanAir . Death of a dear friend has me heart broken but #AmericanAirlines has me heated!,Negative
@USAirways I been on hold with U for 40mins wasting my time and $ &amp; I don't appreciate it #WheresTheCustomerServiceAt http://t.co/phI2IfNjIT,Negative
@USAirways any tips on getting a hotel that your airline won't get for any of us even though we were told that we'd make our flight?,Negative
@USAirways thanks.  If you have another method also that would be nice.  Appears to be a design flaw,Positive
@AmericanAir yes called your UK number on skype…well worth the $.50.  i recommend others do the same.,Positive
@united EWR agent Barbara was FABULOUS and an example of CUST. SERV. A pleasure talking to you😊 http://t.co/KMQuLY9g5E,Positive
@united DM sent,Neutral
@AmericanAir why have I been on hold for almost 3 hours? This is ridiculous,Negative
@SouthwestAir how about #destinationdragon tix for tonite for the inconvenience since I am not there to play scavenger hunt?,Negative
@JetBlue with the free wifi #impressive #FlyFi http://t.co/T1RYpzEBc8,Positive
@JetBlue not one of my four flights this trip has been on time. What the he'll is your companies problem?,Negative
@SouthwestAir why can't you help me after you made mistake and dropped my early bird check in on your end?  Where is the LUV?,Negative
@JetBlue Hawaii! Get me somewhere warm &amp; I can find some good to do. #FlyItForward,Positive
@united can you get me to okc from Sacramento today. Dfw is now closed,Neutral
@SouthwestAir oh my gosh! Going to dm you now! Thank you!,Positive
@JetBlue thank you for taking care of me with a drink since my in-flight entertainment wasn't working #goodcustomerservice,Positive
@united just tried to log in and was told e-mail log in not currently available,Negative
"@AmericanAir @maryella_green just received it, actually. Thank you!!!!!!!!!",Positive
@JetBlue thank you for help and quick response,Positive
@JetBlue will you please start offering more routes out of @triflight to more locations,Neutral
@AmericanAir Joanne from your San Diego staff was phenomenal! Give that girl a raise. She handled our #flightnightmare better than anyone.,Positive
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,Negative
@USAirways been on hold for over and hour now.,Negative
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",Negative
"@SouthwestAir @FortuneMagazine Love u Southwest. You've always been helpful. When I traveled a lot w/my son, infant/toddler, U were great!",Positive
@AmericanAir 767 seconds from touchdown at Madrid airport in April 2013 #AvGeek http://t.co/1yWXRfn0Gr,Neutral
So appreciated! @united,Positive
".@united You may ""dislike delays"" but I paid you .We had an agreement that I paid you and you got me to my destination at a certain time.",Negative
"@USAirways @HutchinsJim Yes, I made the flight and got my workout in too.",Neutral
"@united Yes. It was the airport person who told me the bag was still in Nashville, when I filed the claim. (1/2)",Negative
@SouthwestAir /I really love your customer service Lou Ann in Phx rocks. Thanks SW. #be Ourguest,Positive
@SouthwestAir I would but you need to follow me first ;-),Neutral
@united DM sent.  Thanks.,Positive
@SouthwestAir k thanks :),Neutral
"@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving, have to wait",Negative
"@JetBlue Well, I fly into Huntsville, AL. But I'd take either Nashville or Birmingham too!",Neutral
@SouthwestAir @thirty_lives birthday is the 24th and he's not seeing Imagine Dragons at #DestinationDragons ?,Negative
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,Negative
@JetBlue good to hear. Thx for being responsive.,Positive
"@USAirways if my flight, 4035, is delayed, what time do I have to arrive at BHM?",Neutral
@AmericanAir simply amazing. Smiles for miles.Thank u for my upgrade tomorrow for ORD.We are spending a lot of time together next few weeks!,Positive
"@JetBlue yes thankfully! Catering just got here and now they are loading, but very frustrated. I was supposed to be there by 10-10:30",Positive
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",Neutral
@JetBlue beautiful ride. Thanks again:),Positive
@SouthwestAir thanks for adding straight flights from Columbus to Oakland!,Positive
@SouthwestAir Left my computer on the plane. Two weeks Late Flightr they found it and sent it to me. #greatservice.  #happy #customer,Positive
@united Filled in the form you sent the link to on 29.1.15 and then either 9 or 10.2.15,Neutral
@AmericanAir 37 minutes??????,Negative
"@AmericanAir Thanks that was done, I just don't understand why those whose bags couldn't fit aren't notified in air/at landing #technology",Negative
@USAirways US 728 stated their issues as: kept plane on ground to allow connecting passengers from other flight to board. Fine. Understand.,Neutral
America/Chicago,Neutral
@USAirways unfortunately not. I think I watched it take off from the bus. Rebooked for a Late Flightr flight now #planestrainsandautomobiles,Neutral
"@united your website won't allow me to post the required document, i keep getting **were having technical difficulties**",Negative
@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,Positive
@JetBlue BEST SEAT ON A E190 to board early. READY. SET. GO!,Positive
@USAirways 1917. Thanks for the 5 hour layover in LA too👍 Icing on the cake. At least your staff was courteous and helpful.. Not #unreal,Positive
"@SouthwestAir three cheers to your Denver staff. Don't know if we 
will get out but they're keeping us smiling. http://t.co/RX8z53M7yy",Positive
@SouthwestAir i have asked Lindsey to call me instead of DM like a schoolgirl but so far no call   Getting tired of typing little notes,Negative
@JetBlue was just at T5 a little over a month ago. @JetBlue you guys are great thanks for everything!,Positive
@united I have 8 flights with you in the next two weeks :) let's make some good memories!,Positive
@united @retailbagholder hahaha. At least they gave u a refund.,Neutral
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",Neutral
@SouthwestAir FREE Cable Out of this World Technology and a mans dream come true... FREE and PORTABLE???!!! http://t.co/Qw1til96YA,Neutral
@USAirways and @AmericanAir aren't as merged as the marketing departments would have us believe. Maybe @Delta or @united can get me home?,Neutral
@AmericanAir Eventually the call got through. Not sure what changed. Thank you a lot though!,Positive
@SouthwestAir do you have a pair of tickets to the @Imaginedragons show in Atlanta?! I'd love to go! #DestinationDragons,Neutral
@AmericanAir airport to figure this out or can someone tell me now? Flight is from San Juan to San Diego,Neutral
@AmericanAir and just bad cs! I will be back on @JetBlue  at least when you stuck they look out for you and apologize for any trouble,Negative
@AmericanAir Nicest people ever flight to Chicago.Thanks David Deane &amp; Norma Sedholm for making me feel comfortable ✈️✈️✈️✈️✈️✈️✈️,Positive
@USAirways Shout out to the red-headed gate agent for flt 3389 from DCA to CHS at 7:10 tonight. Didn't get her name but she was great!,Positive
@united the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.,Negative
Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? @united,Neutral
@VirginAmerica fav airline,Positive
"@united All flights Cancelled Flighted :( Trip refunded without difficulty, staff extremely helpful, no complaints! Way to handle bad weather!",Positive
@united tremendous. What would you recommend?,Neutral
"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!",Negative
@SouthwestAir Can you please follow so I can DM? Thx!,Neutral
@AmericanAir now I understand!!,Neutral
@USAirways can you DM me &amp; add me to the upgrade list for a flt tonight?,Neutral
@VirginAmerica Umm so no reason as to why this is? Is there someone different I should contact (or contact me) to get a definitive answer?,Negative
"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!",Positive
@JetBlue I would like to receive offers.,Neutral
@JetBlue I can't find a good photo of it... You got one? #goodnight,Neutral
"@united speaking of my flight, skateboards are allowed as carry on bagage right? No extra payment needed?",Neutral
@USAirways reservations had me on hold for 2 hours only to hang up...smh 😕,Negative
"@USAirways Your customer service is  non-existent/ terrible. Dozens waiting for bags not placed on our flight, no staff anywhere #neveragain",Negative
@USAirways can I get an update on flight 680 to DCA?,Neutral
@united please upload the March on-demand entertainment listing on your website! ✈️,Neutral
@USAirways - just passed the 3 hour mark #onholdwith you for THIS call.  Gave up after 2.5 this morning.,Negative
@SouthwestAir flight Cancelled Flightled out of BWI to PBI. Can't get out until Monday. What are the chances the seats open up for a flight on 2/22?,Negative
@JetBlue Flight I want to book was $320 one day; went to purchase next day &amp; price doubled to $737. Inquiring on chance it may go down?,Neutral
"@USAirways how about an update? 2hrs delayed, this obviously isnt up 2 date, havent boarded http://t.co/L7lWjaZiOA",Negative
@SouthwestAir it's ok! Southwest is still the best airline around! Just hate when baggage room runs out.. My now checked bag has headphones!,Positive
@AmericanAir this is the biggest joke of #customerservice I've ever seen from a  ✈️ brand http://t.co/XHSUUpHeZe,Negative
@JetBlue #Bluemanity @AirlineAdviser loves this. Have a great time flying this,Positive
"@AmericanAir my wife was on a flt from BRO to TUL via DFW that was Cancelled Flighted. Bought an SWA flight to get her home. Partial refund,DM me plz?",Negative
@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,Positive
@JetBlue I'll take 3 round trip tickets to the closest warmest place please! #negativedegrees #buffalo #snowwillnevermelt,Neutral
@USAirways your team member at DCA- Tamara R. is her name was awesome. You should have more employees like her!,Positive
@AmericanAir literally just stopped allowing people to wait in line for customer service. Incredible. From worst to no customer service.,Negative
@united Pleased to be a Premier Platinum,Positive
"@united I'm aware, I fly a lot :) Just sad I had to change my shoes (boots), ha! #HappyFlight",Neutral
"@USAirways @AskPayPal completed. If that's the case then why does it still say ""in progress"" on Paypal's website. I reserved on the 13th.",Negative
"@SouthwestAir Thanks for two smooth, safe and fast flights! #Boston #Houston #LUVSWA http://t.co/elhxUV0Uj1",Positive
"That would be great! I never thought I'd be the sort who'd be into them, but it really makes the flying experience more bearable @JetBlue",Positive
@USAirways #555PHLtoSLC this is happening now.,Neutral
@united can you send me another confirmation email?,Neutral
@JetBlue is the greatest airline ever 💕✈️💺 #TrueBluePoints #jetbluemember,Positive
@JetBlue - trying to fly from BOS to JFK. Flight delayed. Traveling with kids. Book a hotel or are we getting out tonight?,Negative
"@USAirways on your website and on your boards at Logan it said it was on time, so we went through security and got to the gate (2)",Neutral
@USAirways Thanks. It would be better from the gate agent at C14 in Charlotte boarding flight 1791.,Positive
@united and a husband.,Neutral
@USAirways can they change to correct last name? Did via reservations already but said can't change ticket name..,Neutral
No they didn't -.- “@JetBlue: Our fleet's on fleek. http://t.co/58B7swRpmq”,Neutral
@USAirways PLEASE HELP need our plane to wait to go to #ELMIRA on Tarmac over an hr baggage took 45 and still not here thru customs,Negative
@JetBlue 108 to Portland Maine,Neutral
@AmericanAir @robinreda being stuck two days in the airport is not something pretty normal. I am positive you can find a plane to Europe,Negative
"@SouthwestAir worst air line ever, you have no compassion of the handicapped",Negative
"@AmericanAir submitted a case to AA customer relations two weeks ago, no word ever since! whats the point of even having CR?",Negative
"@united as u might imagine, this former pilot was particularly touched by the gesture. Please let the FO know #keepingtraditionsalive",Positive
@united Thank you! You need to follow back tho otherwise I can't DM you. X,Positive
@AmericanAir When did they start to sell water @AdmiralsClub ?,Neutral
"@USAirways http://t.co/AXRYeIWzh0, vuelo24.es, vuelos24.es sell too cheap MAD-NYC with USAirways. Are they trusted webs or is it a scam?",Neutral
@SouthwestAir you could be a little more accommodating with extending my flight credit.Whats 10 extra days!#notahappytraveler,Negative
@SouthwestAir that's awesome! Love flying SWA!,Positive
@SouthwestAir fortunately didn't have to. The flight took off on time.,Neutral
@USAirways delayed I'm charlotte big surprise,Negative
@SouthwestAir when can we expect customer service in Dallas to be available,Neutral
@AmericanAir ...have you seen Blue? Go look it up :),Positive
@USAirways I just checked in online for tomorrow's flight - thought I should get auto upgrade? (Already got the email saying no seats),Neutral
@AmericanAir everything for sorted out. Thanks for the help. Excited to get home tonight!,Positive
La Paz,Neutral
"@USAirways And, the helpful employee who changed her boarding zone so that she would have space for her pump is now being disciplined #fail",Negative
"@JetBlue why, when you book a flight now, does jetblue separate a 3yr old from the mother? Isn't that a bit stupid? check-in headaches!",Negative
"@AmericanAir - We have; they were useless. Baggage service called before 9 to tell us we would have bags by 3. Now, maybe midnight.",Negative
@JetBlue I applied for a job at PDW where could I go for follow up. I'd really love the job #ilovejetblue,Neutral
@united nice. I wonder how you pick who to respond to? Maybe only happy customers are easier. I wonder how many of those you have left.,Negative
"@USAirways found the tix#, security code not working. Tried a dozen times.",Negative
@united Greetings. UA Club member here. Any idea if I can use the Air Canada Lounge at YVR. Flying UA tomorrow.,Neutral
@JetBlue Just looking to arrange for a nice flight from SEA to LA-ish and comparing the cost to something more direct from YVR.,Neutral
@united -LGA-ORD UA 711. Did not get agent name. Argument over baggage policy.,Negative
@JetBlue app just reminded me I will be flying to #FLL in 2 weeks. #ChillyCVZ #ThankGoodness @mypompanobeach #family #friends #sunshine,Positive
"@JetBlue Hey guys, why did my last flight earn me 0 pts? http://t.co/1syWlmTZek",Negative
@united considering it. Currently gold on @delta. Why should I make the jump for an upcoming flight from SFO to Singapore?,Negative
@SouthwestAir Thanks to your team for dealing with Flight 1700 to Houston.,Positive
"@united Great landing in Denver, next Rapid City. Snow starting to fall...Florida Everglades is a faint sunburn away...here comes the cold!",Positive
@JetBlue Airways to continue 'various commercial relationships' with #Lufthansa ... - @CAPA_Aviation http://t.co/vGqOihtRkH,Neutral
@USAirways Looking forward to some friends and family time in Arizona.,Neutral
@united I have a 0530 flight out of DFW on Tuesday. How far in advance will you give notice if Cancelled Flightled?,Neutral
@VirginAmerica I don’t use Passbook =/ I still love you though &lt;3 :) I’ll just use my email in the future.,Positive
@SouthwestAir Salted or honey roasted? I vote to bring back the salted peanuts. I dread a year of the honey roasted!😖 http://t.co/RHw78ktQFO,Neutral
@JetBlue a voucher.. I can't believe I took this risk. Not only was the plane terribly filthy and I had 15 screaming babies in my face..,Negative
"@united @VUSA_Australia I'm just an Aussie cowgirl lookin' for my cowboy. Take me to Fort Worth, Estelle says I'll find him there!",Neutral
"@JetBlue, thanks for not guarantee that you can not deli ever my bags to my hotel, when bag missed connection. #sFO #customerservicenot",Negative
@SouthwestAir Do y'all know when the new routes from HOU to Aruba &amp; Puerto Vallarta will be available?,Neutral
@JetBlue @L_Burley11 -- the best!!!,Positive
"@united traveling from FRA thru IAD to MCO tomorrow, concerned abt IAD weather. Can't change until advisory issued? Any advice?",Neutral
@AmericanAir This is very true. Another reason why we stay South in the Winter months of travel http://t.co/fgJbex480D,Neutral
@united you have the nicest gate attendant at Newark airport gate 101 right now. Multiple delays and she is still pleasant with everyone.,Positive
@united Looking forward to flying with you guys as well !!,Positive
“@SouthwestAir: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). http://t.co/QjKL4aBprG”,Positive
@AmericanAir 1st leg of my flight 2 nyc tomorrow has been Cancelled Flightled. if you make me hold for 2hrs i may miss my only chance back home!,Negative
@SouthwestAir Just sent you a DM with the details.,Neutral
@united - ok noted. All details will be DM'ed to you shortly.,Neutral
"@SouthwestAir schedule is open through the end of October, got Columbus day wknd in New England for ~50K points for 4! Check your calendar!",Neutral
@JetBlue Airways Corporation (JBLU) loses -0.06% on news that @JetBlue Airways ... - WallStreet Scope http://t.co/oFW4A8b5WS,Neutral
@AmericanAir drop me a follow I need help,Neutral
@united how come a $27 shuttle bus from LGA to EWR has electrical power outlets but our new Airbus interiors do not? #whyjeff?,Negative
@USAirways US airways csr at Phoenix airport fixed the problem,Neutral
"@JetBlue thanks so much for help Us, u r amazing!",Positive
@united my reservation were changed so that I can longer make my connecting flight. How can I change this without incurring a fee?,Neutral
@VirginAmerica Keep up the great work :),Positive
@JetBlue @markie_post I'd like to see Markie too.,Neutral
@united just dropped bags at Newark. Your desk guy was the rudest customer facing person I have met. Even my two children were shocked!,Negative
@SouthwestAir NOR @SpiritAirlines fly to Toronto?!?!? You're killing me smalls.......,Negative
@JetBlue suck and their customer services are the worst  whats the point of having a loyalty scheme that they don't honor #badairline,Negative
@JetBlue why are you always so amazing! #jetblue #trueblue http://t.co/iIMTJxcvLG,Positive
@united thanks for more timely updates.,Positive
@SouthwestAir thank you!!!,Positive
@USAirways sorry doesn't help.  It's midnight PST.  How in the hell am I still on hold after 90 minutes on customer service line?,Negative
@USAirways what is contact info to upgrade using advantage miles?,Neutral
@united your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?,Neutral
@AmericanAir what about flight 1239?,Neutral
@JetBlue got it. thanks the quick reply.,Positive
@AmericanAir how does one book a ticket online and put it on hold?  Does that require that I pay for the ticket?,Neutral
@USAirways @AmericanAir you make Spirit look like the gem of air travel. You haven't handle this winter storm very well...,Negative
@AmericanAir thanks for following up. I think it's fair to refund the ticket price and the two one way rental cars I had to buy.,Positive
@AmericanAir oh it's nothing my issue was already resolved and I am in the air,Positive
@SouthwestAir amazing service by your SW stewardesses! From den to Cun and from CUN to Atl and atl to lax. Thank u!,Positive
@AmericanAir How am I supposed to Cancelled Flight it if I can't do it online?  I don't want to lose all the funds on the ticket.  HELP!!! :(,Negative
"OMGee!!! @JetBlue #OnFleek Why @JetBlue Why?!? 😭😁😆😵 How many people even know what that means, lol?",Neutral
@united that's brilliant Thankyou so much. Is it classed as part of carryon?,Positive
@united you're my early frontrunner for best airline! #oscars2016,Positive
@JetBlue do you think snow in boston on 2/24 will effect my flight?,Neutral
Oh wow. #sm “@JetBlue: Our fleet's on fleek. http://t.co/l0i8fnz3KU”,Neutral
@AmericanAir @DAI_President Good luck at DFW this evening AA!,Positive
@united bummer but thank you for the quick response,Positive
@united I am on 1528 and my connecting flight is 909,Neutral
@SouthwestAir I couldn't fly you today &amp; it made the trip harder + had to pay for my checked bag. #DevotedyYours but for today. :(,Negative
@USAirways is there gonna be a better day to call? I've called on 3 separate occasions the past couple of weeks and never get to a person.,Negative
@JetBlue I believe that the website said I could receive credit for upcoming flights since I Cancelled Flighted my last one. Is this true?,Neutral
"@JetBlue Submitted, hoping for quick decision, tied to another donation we just received:
Proposal- 27th Annual Gala
Org- Boundless Readers",Neutral
@AmericanAir several hrs Late Flight and 140 characters won't do it. Cheers though,Negative
"@united diverged to Burlington, Vermont. This sucks.",Negative
@USAirways Exicted to be flying with y'all soon !!,Positive
"@SouthwestAir your customer service is terrible, you're terrible, thought you should know.",Negative
"@united enough already with the poor service, old planes, ridiculous routing. 1k and time to find a new airline with status match.",Negative
@USAirways You are 0 for 3 so far in on-time flights on this vacation.,Negative
@JetBlue I knew there was a reason u were my favorite airline. Just read you answer on twitter in globe this morning. Great job,Positive
@SouthwestAir @CBSsoxfan you get to hold? called twice only to be kicked off.calls 3-6 #phonedied #AListpreferred http://t.co/1TZZ0vbMbS,Negative
@AmericanAir I had an advantage # and you deactivated it. I don't think you should deactivate a customers acct without their knowledge #help,Negative
@AmericanAir thank you for NOT Cancelled Flighting all flights and putting my husbands life in danger driving in this weather. #safetyfirst,Positive
@united ok. I just submitted. Thanks for the opportunity to give feedback.,Positive
.@USAirways Can't book a flight online or over the phone. Your customer service is usually great -- anything you can do to help?,Negative
@USAirways tooooo many Cancelled Flightations! My chain of command hates me now,Negative
@JetBlue isn't this something YOU should do?!  Why should I tell your crew how to do their job?,Negative
@AmericanAir I'm sure all these birds will be in warmer weather soon.,Neutral
"@SouthwestAir oh, is it only in Atlanta?",Neutral
"@united Will do, cheers",Neutral
@VirginAmerica Can you give me Silver Status for 12 months?,Neutral
@united more and more delays! No CS help at all! No notifications!,Negative
@united instead of Bourbon street how about #quiet #planes #SaveTheDiagonals,Neutral
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,Neutral
@AmericanAir understand waiting 2+ hours for callback on the exec plat line but when call dropped the agent could at least try again,Negative
@USAirways is it ok for a flight attendant to talk nasty about passengers while they go get drinks by the restroom? I was shocked listening,Negative
@united Worst airline ever?,Negative
@USAirways Best GAgent in a long time - Danny B. for US628 DFW-CLT. Appreciated how up to date he kept us during irrops. Super professional!,Positive
"@united thank you.
It's my daughters 13th bd party w/proj. weather cond, it doesn't look promising.
Please assist with earlier flts to Cmh?",Positive
"@USAirways trying 2 fly frm DCA to SRQ to visit a family member in hospice but 4532 was Cancelled Flightled, can someone assist me?",Negative
@united that link is not helpful as it does not put me In touch with management,Negative
@united false.,Negative
@USAirways ice cream up front! Solid,Positive
"@JetBlue yes, but it hurt my feelings to walk by MINT. A fella can dream. #happy4them",Neutral
@USAirways Y'all need to get it together,Neutral
@united thnx!,Positive
